,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSTGUG00000014225,0.007531457914458831,-0.07713047195706745,3.9985450478443276,-0.01928963436304152,0.9846100529716642,
ENSTGUG00000005187,98.05050610556556,-0.004003945007165877,0.08237900609188317,-0.048603948956363864,0.9612349228745095,0.9895991771500589
ENSTGUG00000011992,55.32117712909005,0.014085024271756875,0.11992705777942575,0.11744659239170671,0.9065061641325354,0.9751420075663177
ENSTGUG00000012303,17.575106657408504,0.12018338249942097,0.13458240294983723,0.8930096347307516,0.3718520130913898,0.7343260617143614
ENSTGUG00000009755,0.07971857404006612,-0.32673336185864693,2.6787912131272336,-0.12197044706489718,0.9029224233140571,
ENSTGUG00000005172,0.3194251881481791,0.47307029166259035,0.8844469102030132,0.5348769792796305,0.5927349279146805,0.8620339937798593
ENSTGUG00000009791,168.09563940871075,-0.18309375866920446,0.0950326939057785,-1.9266396767699268,0.0540245503701115,0.33957237338467655
ENSTGUG00000016495,68.24429099298543,-0.42974886945901597,0.1458106005842772,-2.947308822108754,0.0032055289490854435,0.08842620318102148
ENSTGUG00000013068,22.615035002233686,0.037554320969847794,0.18390251516938283,0.20420776157008244,0.8381911463004881,0.9580959521401068
ENSTGUG00000004797,2693.801657915414,0.0664383049686861,0.061487414881518085,1.0805187548819224,0.27991123970783693,0.662340760775937
ENSTGUG00000009542,341.7975902685842,-0.12566266606850354,0.07193665047872544,-1.7468517818419562,0.08066305167933717,0.4010545715830168
ENSTGUG00000003134,1397.1137924232212,-0.035578503914724835,0.041099990101325846,-0.8656572380434006,0.38667815676635064,0.7445030473292656
ENSTGUG00000003945,5059.2096949365105,-0.08853889141915611,0.04249476433022811,-2.0835247074467262,0.03720342198722283,0.288343712370472
ENSTGUG00000017534,125.65856429501488,0.03912906206316375,0.3266520017823124,0.1197882206435709,0.9046509133140195,0.9749264241603378
ENSTGUG00000013705,60.77893970574707,0.669565320090005,0.17888115870665325,3.743073473646397,0.00018178304648018743,0.018148007473605378
ENSTGUG00000000500,148.21338688689818,0.015845806003273327,0.08056051078504765,0.19669445797772142,0.8440666472688072,0.9606023300268062
ENSTGUG00000010463,1012.9231828798723,0.014712668899866197,0.04191601477381676,0.3510035240529738,0.7255857045935067,0.9165116192758109
ENSTGUG00000012454,186.58489036207885,0.017622273262293837,0.07044027923610006,0.25017324538461744,0.8024533746029119,0.9486676534038231
ENSTGUG00000013046,1348.895141536119,0.046446225323257394,0.07667915749256018,0.6057216438217106,0.5446996090936274,0.840845400604428
ENSTGUG00000010039,347.6941515754558,0.02945454611373132,0.04351208630601302,0.6769279208214143,0.49845168798961825,0.8148006567543437
ENSTGUG00000013833,3.5522059260081598,-0.593838082236215,0.46788138052770817,-1.2692064847001272,0.20436742883580272,0.5792885780689679
ENSTGUG00000015464,0.014434133755955923,0.005306956092812776,4.000804059281187,0.0013264723825955782,0.9989416284759681,
ENSTGUG00000018023,0.059050809670459864,0.1633158030927217,3.992455939715926,0.04090610029483307,0.9673707541877725,
ENSTGUG00000001873,647.3450581683994,-0.08064801975643379,0.07769705724675392,-1.0379803639191645,0.2992791969619968,0.6796900056122694
ENSTGUG00000006638,15.588943549782883,-0.15456679946250673,0.37817253675525797,-0.4087203179498404,0.6827449214119021,0.901108304463725
ENSTGUG00000008621,2.4599593531708495,0.05818978173851401,0.361565278017629,0.1609385227960878,0.8721418209595561,0.9660303951169118
ENSTGUG00000007438,428.0712803994125,0.04350116876073115,0.04341401797914546,1.0020074341340062,0.3163400023702416,0.6942504242048959
ENSTGUG00000010591,40.7101591904502,-0.053613896216159015,0.08601977748270995,-0.6232740630715472,0.5331044389881292,0.834050048796075
ENSTGUG00000015709,169.29391987805576,-0.15286896412899198,0.05433784438281633,-2.813305641129461,0.004903501897406875,0.11094527231464754
ENSTGUG00000010640,235.00413156721666,-0.10272938338548426,0.07755967185913895,-1.3245206035948376,0.18533020496082864,0.5586028814765077
ENSTGUG00000000516,533.1516376686494,0.13039774406992377,0.12453969425789746,1.0470376119592477,0.29508223141762413,0.6761091783246437
ENSTGUG00000006544,75.92888685648559,0.2723962286495318,0.1385788516968415,1.9656406826449428,0.0493401312178847,0.3273467882857445
ENSTGUG00000009996,6.169544056405685,0.12109462784481025,0.23499000748122545,0.5153182007302379,0.6063306824802637,0.8673415536915571
ENSTGUG00000006313,1.1368724926382319,-0.5924372321571504,0.5629406937392022,-1.0523972396133319,0.29261733462506245,0.6726669320629862
ENSTGUG00000009227,1.6006504459566222,-0.0600110693647498,0.3446292981233034,-0.17413223336362627,0.861761541603347,0.964014348698922
ENSTGUG00000004765,10.013516672350837,-0.5505702237966464,0.2460555887919754,-2.2375847120551247,0.025248149429413447,0.2367031650252221
ENSTGUG00000007052,883.495893819164,-0.08647154034288482,0.07187812334122673,-1.2030300225338217,0.22896470279898784,0.6058298154521045
ENSTGUG00000015041,114.56162343918656,-0.009799879476667656,0.14008449803805284,-0.06995691610363337,0.9442279515483335,0.9849975101004891
ENSTGUG00000005163,10.335771967466885,-0.4363487112737085,0.20632032833604003,-2.114908961190748,0.03443770728367431,0.27662319279779
ENSTGUG00000016252,126.8714506979939,-0.24735307983316143,0.10294442091427511,-2.40278276021524,0.016270850070935754,0.19217936435896793
ENSTGUG00000008244,35.64556810520979,-0.49770893859133025,0.166079669119359,-2.9968083464426596,0.00272822173478653,0.08266533700197566
ENSTGUG00000018727,0.0,,,,,
ENSTGUG00000012839,6.043039794953706,-0.17728332352725004,0.2923739411950117,-0.6063581549116346,0.544276948998671,0.8406244305946784
ENSTGUG00000016633,0.02397389319322662,0.08545607991696044,3.998663049143566,0.0213711630279184,0.9829495768804908,
ENSTGUG00000009241,25.695929719244326,0.9679617829311382,0.34398192725684323,2.8139902309704308,0.004893071531870601,0.11090080504396448
ENSTGUG00000006633,1720.4125151421772,0.006047886778003428,0.023347489407760207,0.25903799215316226,0.7956059271477398,0.9456498247734106
ENSTGUG00000002833,5831.983678659922,0.056409487987347,0.051469174955119136,1.0959858602073143,0.2730849624089495,0.6555289808963649
ENSTGUG00000016257,11.246561500119586,-0.011590830657636575,0.1973966642478861,-0.05871847278574618,0.9531763455685387,0.9876978489666498
ENSTGUG00000003672,1973.5983460894367,0.011327449524345726,0.03010004954001043,0.376326607346235,0.7066741009132285,0.9080859654088774
ENSTGUG00000015775,42.374893004241734,-0.5439988904325591,0.2119841611350454,-2.5662242288281263,0.010281234193577984,0.15309361510346828
ENSTGUG00000003739,1852.271040682321,0.02595364328266441,0.03417722057581403,0.7593842578594836,0.44762272765375644,0.7843757372026992
ENSTGUG00000016214,95.35290105748803,0.006939605487824862,0.129753543240197,0.05348297483467107,0.957347095346997,0.9885081160960886
ENSTGUG00000009641,119.14731849942628,-0.06325130505043526,0.07728308417111615,-0.8184366052264107,0.4131079270418677,0.7622028803607921
ENSTGUG00000004387,21.204647649272903,0.23570453657002044,0.19931880038084343,1.1825504474221893,0.23698736101939777,0.6156676710823886
ENSTGUG00000012427,324.76026794295694,-0.02692059296696308,0.046088023417541424,-0.5841125518244056,0.5591445905825202,0.8478291015446182
